store,category,range
CA_1,FOODS_1,219
CA_1,FOODS_2,399
CA_1,FOODS_3,827
CA_1,HOBBIES_1,424
CA_1,HOBBIES_2,149
CA_1,HOUSEHOLD_1,541
CA_1,HOUSEHOLD_2,516
CA_2,FOODS_1,219
CA_2,FOODS_2,399
CA_2,FOODS_3,827
CA_2,HOBBIES_1,424
CA_2,HOBBIES_2,149
CA_2,HOUSEHOLD_1,541
CA_2,HOUSEHOLD_2,516
CA_3,FOODS_1,219
CA_3,FOODS_2,399
CA_3,FOODS_3,827
CA_3,HOBBIES_1,424
CA_3,HOBBIES_2,149
CA_3,HOUSEHOLD_1,541
CA_3,HOUSEHOLD_2,516
CA_4,FOODS_1,219
CA_4,FOODS_2,399
CA_4,FOODS_3,827
CA_4,HOBBIES_1,424
CA_4,HOBBIES_2,149
CA_4,HOUSEHOLD_1,541
CA_4,HOUSEHOLD_2,516
TX_1,FOODS_1,219
TX_1,FOODS_2,399
TX_1,FOODS_3,827
TX_1,HOBBIES_1,424
TX_1,HOBBIES_2,149
TX_1,HOUSEHOLD_1,541
TX_1,HOUSEHOLD_2,516
TX_2,FOODS_1,219
TX_2,FOODS_2,399
TX_2,FOODS_3,827
TX_2,HOBBIES_1,424
TX_2,HOBBIES_2,149
TX_2,HOUSEHOLD_1,541
TX_2,HOUSEHOLD_2,516
TX_3,FOODS_1,219
TX_3,FOODS_2,399
TX_3,FOODS_3,827
TX_3,HOBBIES_1,424
TX_3,HOBBIES_2,149
TX_3,HOUSEHOLD_1,541
TX_3,HOUSEHOLD_2,516
WI_1,FOODS_1,219
WI_1,FOODS_2,399
WI_1,FOODS_3,827
WI_1,HOBBIES_1,424
WI_1,HOBBIES_2,149
WI_1,HOUSEHOLD_1,541
WI_1,HOUSEHOLD_2,516
WI_2,FOODS_1,219
WI_2,FOODS_2,399
WI_2,FOODS_3,827
WI_2,HOBBIES_1,424
WI_2,HOBBIES_2,149
WI_2,HOUSEHOLD_1,541
WI_2,HOUSEHOLD_2,516
WI_3,FOODS_1,219
WI_3,FOODS_2,399
WI_3,FOODS_3,827
WI_3,HOBBIES_1,424
WI_3,HOBBIES_2,149
WI_3,HOUSEHOLD_1,541
WI_3,HOUSEHOLD_2,516
